Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Daily_Return,Volatility,Log_Return,Cumulative_Return
2011-08-22,MUNDRAPORT,EQ,136.3,135.05,137.9,134.9,136.25,136.05,136.04,334962,4556968770000.0,4624.0,140881,0.4206,-0.0018341892883345645,8.230869366479151,-0.0018358734732316375,0.8426757510065036
2011-08-23,MUNDRAPORT,EQ,136.05,137.4,139.2,134.2,138.75,138.45,135.95,907130,12332147895000.0,7097.0,596021,0.657,0.01764057331863267,7.271445595915872,0.017486784387715365,0.8575410343759676
2011-08-24,MUNDRAPORT,EQ,138.45,139.9,148.0,138.8,147.0,146.8,144.99,2727812,39550104375000.0,23162.0,1524475,0.5589000000000001,0.06031058143734214,6.145828709624985,0.05856186656344449,0.909259832765562
2011-08-25,MUNDRAPORT,EQ,146.8,147.2,149.65,138.75,140.75,140.4,143.68,1793336,25766099030000.0,14070.0,1035991,0.5777,-0.043596730245231696,4.936770599198035,-0.04457562458870455,0.8696190771136573
2011-08-26,MUNDRAPORT,EQ,140.4,139.25,142.85,139.1,141.15,140.55,141.08,694785,9801762750000.0,11043.0,337969,0.4864,0.0010683760683760646,3.4530107003131514,0.001067805760830137,0.8705481573242487
2011-08-29,MUNDRAPORT,EQ,140.55,141.15,147.95,141.0,145.45,145.35,145.47,484414,7046845950000.0,7367.0,194925,0.4024,0.03415154749199556,3.593571563317938,0.03358132965234387,0.900278724063177
2011-08-30,MUNDRAPORT,EQ,145.35,147.0,152.9,146.4,152.5,152.1,150.65,1185911,17865212820000.0,12668.0,596163,0.5027,0.04643962848297223,4.434116389951156,0.04539357226036232,0.9420873335397952
2011-09-02,MUNDRAPORT,EQ,152.1,154.05,158.5,151.6,157.15,157.5,156.57,1596147,24990796230000.0,18708.0,917285,0.5747,0.035502958579881616,5.9687585768821645,0.03488725900044054,0.9755342211210897
2011-09-05,MUNDRAPORT,EQ,157.5,155.8,160.6,154.8,157.85,157.25,158.21,912066,14429586500000.0,11334.0,531003,0.5822,-0.0015873015873015817,7.050593013629329,-0.0015885626851378416,0.9739857541034371
2011-09-06,MUNDRAPORT,EQ,157.25,160.0,161.9,150.9,154.0,154.05,153.45,1330904,20423017435000.0,16637.0,724086,0.5441,-0.020349761526232024,7.572506972188005,-0.020559670537872884,0.9541653762774849
2011-09-07,MUNDRAPORT,EQ,154.05,155.3,162.0,154.5,160.6,160.05,159.44,1871504,29839916245000.0,29920.0,1073785,0.5738000000000001,0.038948393378773094,8.55996610615774,0.0382090413731951,0.9913285847011454
2011-09-08,MUNDRAPORT,EQ,160.05,161.8,163.9,158.6,160.5,160.75,161.56,1011497,16341379625000.0,14259.0,372585,0.3684,0.004373633239612484,9.269095155500505,0.004364096701856568,0.9956642923505723
2011-09-09,MUNDRAPORT,EQ,160.75,162.45,162.45,153.05,153.6,154.15,157.61,541841,8540161505000.0,8022.0,192387,0.3550999999999999,-0.04105754276827367,9.162700058942253,-0.04192420878556935,0.9547847630845457
2011-09-12,MUNDRAPORT,EQ,154.15,153.2,156.8,150.35,152.15,152.35,153.27,458685,7030290975000.0,6592.0,127512,0.278,-0.011676938047356589,9.127270806223395,-0.011745648900441434,0.9436358005574474
2011-09-13,MUNDRAPORT,EQ,152.35,155.9,157.0,151.65,152.5,152.55,154.42,477998,7381170200000.0,5704.0,239980,0.5021,0.0013127666557271045,8.891010762007596,0.0013119057309607586,0.9448745741715696
2011-09-14,MUNDRAPORT,EQ,152.55,150.1,153.0,147.55,149.8,149.05,151.3,1511322,22865856935000.0,10017.0,1077084,0.7127,-0.022943297279580444,8.559827762139907,-0.023210591038598176,0.9231960359244343
